T: 49377,   	dT: 7.49,   	P: -2,   	I: -26,   	D: -5,   	V: -33,   	L: 0.00,   	R: 0.00
T: 49385,   	dT: 7.47,   	P: -2,   	I: -35,   	D: -5,   	V: -42,   	L: 0.00,   	R: 0.00
T: 49392,   	dT: 7.48,   	P: -2,   	I: -46,   	D: -6,   	V: -54,   	L: 0.00,   	R: -0.26
T: 49400,   	dT: 7.57,   	P: -2,   	I: -55,   	D: -4,   	V: -61,   	L: 0.00,   	R: -0.52
T: 49407,   	dT: 7.56,   	P: -1,   	I: -60,   	D: -3,   	V: -64,   	L: 0.00,   	R: -0.26
T: 49415,   	dT: 7.57,   	P: 0,   	I: -64,   	D: -2,   	V: -66,   	L: -0.26,   	R: 0.00
T: 49423,   	dT: 7.48,   	P: 0,   	I: -62,   	D: 0,   	V: -62,   	L: -0.26,   	R: 0.00
T: 49430,   	dT: 7.39,   	P: 0,   	I: -59,   	D: 1,   	V: -58,   	L: -0.80,   	R: -0.27
T: 49437,   	dT: 7.49,   	P: 0,   	I: -61,   	D: 0,   	V: -61,   	L: -0.79,   	R: -0.52
T: 49445,   	dT: 7.47,   	P: 0,   	I: -61,   	D: 0,   	V: -61,   	L: -0.79,   	R: -0.79
T: 49452,   	dT: 7.48,   	P: 0,   	I: -58,   	D: 1,   	V: -57,   	L: -0.79,   	R: -0.53
T: 49460,   	dT: 7.48,   	P: 1,   	I: -55,   	D: 1,   	V: -53,   	L: -1.05,   	R: -0.79
T: 49467,   	dT: 7.48,   	P: 0,   	I: -52,   	D: 1,   	V: -51,   	L: -1.05,   	R: -0.79
T: 49475,   	dT: 7.48,   	P: 1,   	I: -48,   	D: 1,   	V: -46,   	L: -1.31,   	R: -1.05
T: 49482,   	dT: 7.48,   	P: 1,   	I: -45,   	D: 1,   	V: -43,   	L: -1.05,   	R: -1.05
T: 49490,   	dT: 7.48,   	P: 1,   	I: -41,   	D: 1,   	V: -39,   	L: -1.31,   	R: -1.05
T: 49497,   	dT: 7.49,   	P: 1,   	I: -37,   	D: 2,   	V: -34,   	L: -1.05,   	R: -1.05
T: 49505,   	dT: 7.47,   	P: 1,   	I: -32,   	D: 2,   	V: -29,   	L: -1.31,   	R: -1.05
T: 49512,   	dT: 7.48,   	P: 1,   	I: -27,   	D: 2,   	V: -24,   	L: -1.05,   	R: -1.05
T: 49520,   	dT: 7.48,   	P: 1,   	I: -23,   	D: 1,   	V: -21,   	L: -1.31,   	R: -1.05
T: 49527,   	dT: 7.48,   	P: 1,   	I: -19,   	D: 1,   	V: -17,   	L: -1.05,   	R: -1.05
T: 49535,   	dT: 7.48,   	P: 0,   	I: -16,   	D: 0,   	V: -16,   	L: -1.05,   	R: -1.05
T: 49542,   	dT: 7.49,   	P: 0,   	I: -15,   	D: 0,   	V: -15,   	L: -1.05,   	R: -0.79
T: 49550,   	dT: 7.48,   	P: 0,   	I: -13,   	D: 0,   	V: -13,   	L: -0.79,   	R: -1.05
T: 49557,   	dT: 7.47,   	P: 0,   	I: -12,   	D: 0,   	V: -12,   	L: -0.79,   	R: -0.79
T: 49565,   	dT: 7.48,   	P: 0,   	I: -13,   	D: 0,   	V: -13,   	L: -0.79,   	R: -0.52
T: 49572,   	dT: 7.48,   	P: 0,   	I: -14,   	D: -1,   	V: -15,   	L: -0.53,   	R: -0.79
T: 49580,   	dT: 7.57,   	P: 0,   	I: -16,   	D: -1,   	V: -17,   	L: -0.52,   	R: -0.52
