time, x, z
979000, 278, 94
980356, 275, 91
981716, 279, 90
983080, 285, 92
984436, 285, 91
985796, 280, 93
987160, 278, 93
988516, 278, 94
989876, 281, 94
991244, 285, 94
992596, 282, 94
993956, 279, 94
995316, 279, 93
996676, 280, 93
998036, 284, 92
999396, 284, 91
1000756, 281, 92
1002200, 279, 92
1003648, 278, 92
1005092, 279, 92
1006536, 281, 90
1007980, 284, 90
1009428, 285, 91
1010872, 285, 90
1012316, 282, 91
1013768, 280, 92
1015208, 279, 91
1016652, 280, 91
1018096, 282, 91
1019540, 284, 92
1020992, 284, 92
1022432, 283, 91
1023876, 281, 91
1025320, 279, 91
1026768, 279, 91
1028216, 280, 92
1029656, 281, 91
1031100, 284, 91
1032548, 285, 91
1033992, 284, 92
1035436, 282, 92
1036880, 279, 91
1038328, 278, 91
1039772, 280, 90
1041216, 281, 89
1042660, 282, 89
1044108, 281, 89
1045552, 280, 91
1046996, 279, 92
1048440, 279, 91
1049888, 280, 91
1051332, 283, 91
1052776, 286, 92
1054220, 285, 93
1055668, 283, 94
1057112, 281, 93
1058556, 279, 91
1060000, 279, 90
1061448, 280, 89
1062892, 282, 88
1064336, 283, 90
1065780, 283, 92
1067228, 282, 92
1068672, 281, 92
1070120, 280, 93
1071560, 279, 93
1073008, 280, 93
1074452, 281, 93
1075896, 283, 92
1077344, 283, 91
1078788, 281, 91
1080232, 279, 91
1081676, 281, 91
1083120, 280, 91
1084568, 282, 91
1086012, 283, 91
1087456, 283, 91
1088900, 284, 91
1090348, 280, 90
1091792, 279, 90
1093236, 279, 89
1094680, 279, 90
1096128, 281, 90
1097572, 283, 90
1099016, 283, 91
1100460, 284, 91
1101912, 281, 92
1103352, 280, 91
1104796, 280, 89
1106240, 281, 89
1107688, 281, 89
1109136, 283, 89
1110576, 282, 90
1112020, 280, 90
1113468, 278, 89
1114912, 278, 90
1116356, 279, 92
1117800, 280, 92
1119252, 282, 93
1120692, 283, 93
1122136, 282, 93
1123580, 279, 91
1125028, 276, 91
1126472, 275, 90
1127916, 278, 90
1129360, 280, 91
1130808, 284, 91
1132252, 284, 92
1133696, 283, 93
1135140, 281, 93
1136588, 279, 93
1138032, 279, 93
1139476, 280, 93
1140920, 281, 92
1142368, 281, 92
1143816, 281, 92
1145256, 280, 92
1146700, 279, 93
1148148, 278, 93
1149592, 279, 93
1151040, 281, 93
1152480, 282, 94
1153928, 283, 94
1155372, 283, 94
1156816, 282, 94
1158264, 281, 94
1159708, 281, 92
1161152, 281, 91
1162596, 282, 90
1164040, 283, 90
1165488, 283, 90
1166932, 282, 90
1168376, 280, 91
1169820, 281, 91
1171268, 280, 91
1172712, 282, 91
1174156, 283, 91
1175600, 282, 92
1177048, 283, 91
1178492, 282, 91
1179936, 280, 92
1181380, 281, 91
1182832, 281, 91
1184272, 282, 91
1185716, 283, 90
1187160, 283, 89
1188608, 283, 89
1190052, 281, 89
1191496, 280, 89
1192940, 280, 89
1194388, 280, 89
1195832, 281, 90
1197276, 281, 90
1198720, 281, 90
1200168, 281, 90
1201612, 280, 90
1203056, 279, 91
1204500, 279, 91
1205948, 280, 91
1207392, 281, 91
1208836, 282, 91
1210280, 282, 92
1211728, 283, 93
1213172, 281, 93
1214616, 280, 93
1216060, 279, 93
1217508, 280, 92
1218952, 281, 93
1220396, 283, 93
1221840, 281, 93
1223288, 279, 92
1224736, 279, 91
1226176, 279, 91
1227620, 279, 90
1229068, 281, 90
1230512, 281, 90
